"78 ","33 ","- 17 - ","34 ",50
"88 ","31 ","- 16 - ","32 ",86
"98 ","29 ","- 15 - ","30 ",83
"95 ","27 ","- 14 - ","28 ",77
"66 ","25 ","- 13 - ","26 ",67
"51 ","23 ","- 12 - ","24 ",97
"30 ","21 ","- 11 - ","22 ",71
"35 ","19 ","- 10 - ","20 ",42
"31 ","17 ","- 9 - ","18 ",27
"43 ","15 ","- 8 - ","16 ",37
"38 ","13 ","- 7 - ","14 ",44
"36 ","11 ","- 6 - ","12 ",45
"4 ","9 ","- 5 - ","10 ",26
"13 ","7 ","- 4 - ","8 ",12
"5 ","5 ","- 3 - ","6 ",7
"6 ","3 ","- 2 - ","4 ",8
"1 ","1 ","- 1 - ","2 ",2
